[Jan/20/2020 | 15:32:18.973] [LOG]    94310|2337489|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:33:07.376] [LOG]    |2337492 archive downloaded
[Jan/20/2020 | 15:33:07.377] [LOG]    |2337492 Extracting . . .
[Jan/20/2020 | 15:33:16.541] [LOG]    |2337490 starting download. . .
[Jan/20/2020 | 15:33:19.494] [LOG]    			 94330/2337492 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:33:21.343] [LOG]    94323|2337492|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:33:22.877] [LOG]    94330|2337492|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:34:53.836] [LOG]    |2337414 archive downloaded
[Jan/20/2020 | 15:34:53.837] [LOG]    |2337414 Extracting . . .
[Jan/20/2020 | 15:35:02.163] [LOG]    2337490 already downloaded or downloading (/home/jcm/matches/2337490/archive.rar), skipping. . .
[Jan/20/2020 | 15:35:02.202] [LOG]    94321|2337490|Fri, 01 Nov 2019 07:10:00 GMT
[Jan/20/2020 | 15:35:02.202] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337490/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337490/archive.rar'
}
[Jan/20/2020 | 15:35:03.165] [LOG]    |2337494 starting download. . .
[Jan/20/2020 | 15:35:03.565] [LOG]    94319|2337414 1 Orphan(s) found
[Jan/20/2020 | 15:35:03.565] [LOG]    94319|2337414 1 Orphan(s) found
[Jan/20/2020 | 15:35:05.599] [LOG]    94319|2337414|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:35:07.260] [LOG]    94307|2337414|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:35:07.932] [LOG]    ERROR!! Rolling back...
[Jan/20/2020 | 15:35:07.933] [LOG]    94307|2337414|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:35:21.459] [LOG]    |2337490 archive downloaded
[Jan/20/2020 | 15:35:21.460] [LOG]    |2337490 Extracting . . .
[Jan/20/2020 | 15:35:27.696] [LOG]    |2337493 starting download. . .
[Jan/20/2020 | 15:35:28.746] [LOG]    94334|2337490 1 Orphan(s) found
[Jan/20/2020 | 15:35:30.705] [LOG]    94334|2337490|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:35:31.714] [LOG]    94321|2337490|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:37:51.808] [LOG]    |2337494 archive downloaded
[Jan/20/2020 | 15:37:51.810] [LOG]    |2337494 Extracting . . .
[Jan/20/2020 | 15:38:00.241] [LOG]    |2337540 starting download. . .
[Jan/20/2020 | 15:38:00.358] [LOG]    |2337493 archive downloaded
[Jan/20/2020 | 15:38:00.358] [LOG]    |2337493 Extracting . . .
[Jan/20/2020 | 15:38:07.440] [LOG]    2337414 already downloaded or downloading (/home/jcm/matches/2337414/archive.rar), skipping. . .
[Jan/20/2020 | 15:38:07.442] [LOG]    94307|2337414|Fri, 01 Nov 2019 04:10:00 GMT
[Jan/20/2020 | 15:38:07.442] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337414/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337414/archive.rar'
}
[Jan/20/2020 | 15:38:08.450] [LOG]    |2337484 starting download. . .
[Jan/20/2020 | 15:38:08.839] [LOG]    			 94331/2337494 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:38:10.696] [LOG]    94324|2337494|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:38:12.286] [LOG]    94331|2337494|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:38:12.381] [LOG]    			 94322/2337493 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:38:13.472] [LOG]    94328|2337493|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:38:15.947] [LOG]    94322|2337493|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:39:38.831] [LOG]    |2337540 archive downloaded
[Jan/20/2020 | 15:39:38.831] [LOG]    |2337540 Extracting . . .
[Jan/20/2020 | 15:39:38.861] [LOG]    2337417 already downloaded or downloading (/home/jcm/matches/2337417/archive.rar), skipping. . .
[Jan/20/2020 | 15:39:38.862] [LOG]    94295|2337417|Fri, 01 Nov 2019 02:15:00 GMT
[Jan/20/2020 | 15:39:38.862] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337417/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337417/archive.rar'
